2025-12-30T21:18:35.683+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springdoc:springdoc-openapi-starter-common:2.5.0 configuration runtime from candidates [org.springdoc:springdoc-openapi-starter-common:2.5.0 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.685+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match io.jsonwebtoken:jjwt-jackson:0.12.6 configuration runtime from candidates [io.jsonwebtoken:jjwt-jackson:0.12.6 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.685+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.boot:spring-boot-actuator-autoconfigure:3.3.7 variant runtimeElements from candidates [org.springframework.boot:spring-boot-actuator-autoconfigure:3.3.7 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.685+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.17.3 variant runtimeElements from candidates [com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.17.3 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.685+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.17.3 variant runtimeElements from candidates [com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.17.3 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.685+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson.module:jackson-module-parameter-names:2.17.3 variant runtimeElements from candidates [com.fasterxml.jackson.module:jackson-module-parameter-names:2.17.3 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.686+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.17.3 variant runtimeElements from candidates [com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.17.3 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.686+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson.core:jackson-core:2.17.3 variant runtimeElements from candidates [com.fasterxml.jackson.core:jackson-core:2.17.3 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.686+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match io.swagger.core.v3:swagger-models-jakarta:2.2.21 configuration runtime from candidates [io.swagger.core.v3:swagger-models-jakarta:2.2.21 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.686+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson.core:jackson-annotations:2.17.3 variant runtimeElements from candidates [com.fasterxml.jackson.core:jackson-annotations:2.17.3 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.686+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime from candidates [com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime] for {org.gradle.category=platform, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.686+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime from candidates [com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime] for {org.gradle.category=platform, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.686+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime from candidates [com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime] for {org.gradle.category=platform, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.686+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime from candidates [com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime] for {org.gradle.category=platform, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.686+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime from candidates [com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime] for {org.gradle.category=platform, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.687+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime from candidates [com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime] for {org.gradle.category=platform, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.687+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime from candidates [com.fasterxml.jackson:jackson-bom:2.17.3 configuration platform-runtime] for {org.gradle.category=platform, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.687+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.fasterxml.jackson.core:jackson-databind:2.17.3 variant runtimeElements from candidates [com.fasterxml.jackson.core:jackson-databind:2.17.3 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.687+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.hibernate.validator:hibernate-validator:8.0.2.Final configuration runtime from candidates [org.hibernate.validator:hibernate-validator:8.0.2.Final configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.687+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match jakarta.validation:jakarta.validation-api:3.0.2 configuration runtime from candidates [jakarta.validation:jakarta.validation-api:3.0.2 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.687+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match io.jsonwebtoken:jjwt-impl:0.12.6 configuration runtime from candidates [io.jsonwebtoken:jjwt-impl:0.12.6 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.687+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match io.jsonwebtoken:jjwt-api:0.12.6 configuration runtime from candidates [io.jsonwebtoken:jjwt-api:0.12.6 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.687+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.boot:spring-boot-starter-tomcat:3.3.7 variant runtimeElements from candidates [org.springframework.boot:spring-boot-starter-tomcat:3.3.7 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.688+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework:spring-webmvc:6.1.16 variant runtimeElements from candidates [org.springframework:spring-webmvc:6.1.16 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.688+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.security:spring-security-taglibs:6.3.6 variant runtimeElements from candidates [org.springframework.security:spring-security-taglibs:6.3.6 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.688+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.security:spring-security-web:6.3.6 variant runtimeElements from candidates [org.springframework.security:spring-security-web:6.3.6 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.688+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework:spring-web:6.1.16 variant runtimeElements from candidates [org.springframework:spring-web:6.1.16 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.688+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.apache.tomcat.embed:tomcat-embed-el:10.1.34 configuration runtime from candidates [org.apache.tomcat.embed:tomcat-embed-el:10.1.34 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.688+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match io.micrometer:micrometer-jakarta9:1.13.9 configuration runtime from candidates [io.micrometer:micrometer-jakarta9:1.13.9 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.688+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.mybatis.spring.boot:mybatis-spring-boot-autoconfigure:3.0.3 configuration runtime from candidates [org.mybatis.spring.boot:mybatis-spring-boot-autoconfigure:3.0.3 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.688+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.boot:spring-boot-autoconfigure:3.3.7 variant runtimeElements from candidates [org.springframework.boot:spring-boot-autoconfigure:3.3.7 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.688+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.boot:spring-boot-actuator:3.3.7 variant runtimeElements from candidates [org.springframework.boot:spring-boot-actuator:3.3.7 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.689+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.boot:spring-boot:3.3.7 variant runtimeElements from candidates [org.springframework.boot:spring-boot:3.3.7 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.689+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework:spring-context-support:6.1.16 variant runtimeElements from candidates [org.springframework:spring-context-support:6.1.16 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.689+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.security:spring-security-config:6.3.6 variant runtimeElements from candidates [org.springframework.security:spring-security-config:6.3.6 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.689+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.data:spring-data-jpa:3.3.7 configuration runtime from candidates [org.springframework.data:spring-data-jpa:3.3.7 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.689+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.security:spring-security-acl:6.3.6 variant runtimeElements from candidates [org.springframework.security:spring-security-acl:6.3.6 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.689+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.security:spring-security-core:6.3.6 variant runtimeElements from candidates [org.springframework.security:spring-security-core:6.3.6 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.689+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework:spring-context:6.1.16 variant runtimeElements from candidates [org.springframework:spring-context:6.1.16 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.689+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match io.micrometer:micrometer-core:1.13.9 configuration runtime from candidates [io.micrometer:micrometer-core:1.13.9 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.689+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match io.micrometer:micrometer-observation:1.13.9 configuration runtime from candidates [io.micrometer:micrometer-observation:1.13.9 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.690+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.webjars:swagger-ui:5.13.0 configuration runtime from candidates [org.webjars:swagger-ui:5.13.0 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.690+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.apache.tomcat.embed:tomcat-embed-websocket:10.1.34 configuration runtime from candidates [org.apache.tomcat.embed:tomcat-embed-websocket:10.1.34 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.690+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.apache.tomcat.embed:tomcat-embed-core:10.1.34 configuration runtime from candidates [org.apache.tomcat.embed:tomcat-embed-core:10.1.34 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.690+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.eclipse.jdt:ecj:3.33.0 configuration runtime from candidates [org.eclipse.jdt:ecj:3.33.0 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.690+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match jakarta.servlet:jakarta.servlet-api:6.0.0 configuration runtime from candidates [jakarta.servlet:jakarta.servlet-api:6.0.0 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.690+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match jakarta.el:jakarta.el-api:5.0.0 configuration runtime from candidates [jakarta.el:jakarta.el-api:5.0.0 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.690+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.mybatis:mybatis:3.5.19 configuration runtime from candidates [org.mybatis:mybatis:3.5.19 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.690+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.mybatis:mybatis-spring:3.0.5 configuration runtime from candidates [org.mybatis:mybatis-spring:3.0.5 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.690+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match com.google.guava:failureaccess:1.0.2 configuration runtime from candidates [com.google.guava:failureaccess:1.0.2 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
